normalized_token,classification,count,variant_examples,sample_contexts
Крым,unknown,114,Крыма (43); Крым (36); Крыму (27); Крымом (7); Крыме (1),"Пить баварское в Крыму | Подводный дом ""Ихтиандр-67"" в Крыму. Сделан донецкими энтузаистами НТР в 19 | зависит от России. Проблемные регионы - Крым и Донбасс, и их утрата даже в чём-то же"
Ран,unknown,113,РАН (113),"у Юрия Бокарева из Института экономики РАН.  В так называемом ""рабовладельческом о | ва: справедливость и ""Где деньги!?"" (ИС РАН) | енсионеров даже уменьшилось (данные: ИС РАН)"
Сирия,unknown,109,Сирии (79); Сирию (14); Сирия (13); Сирией (3),"лка французского Иностранного легиона в Сирии, 1924 год | л, что если и вправду прибыли С-300 для Сирии, то он рано или поздно уничтожит их. По | на: Асад - номинальная фигура, и всем в Сирии распоряжается Иран, а Иран - непримирим"
Александр,unknown,109,Александра (65); Александр (39); Александру (4); Александром (1),"казывал прокремлёвский политолог, немец Александр Рар в книге «Владимир Путин. Немец в Кр | к тому, что отстаивать Москву помогали Александр Невский, Дмитрий Донской, Минин и Пожар | Письмо Алексея Константиновича Толстого Александру II, 1860 год:  Ваше величество, професс"
Институт,unknown,108,Института (82); Институт (17); Институте (7); Институтом (2),"советник главы КГБ Андропова и директор Института Америки Георгий Арбатов в автобиографии | кий Союз и до весны 1937 года работал в Институте генетики АН СССР, где заведовал отделом | т, собранный в 1978 году силами рабочих Института сверхтвердых материалов имени В.М.Бакул"
Ввп,unknown,108,ВВП (108),"та в царской России. Но рост подушевого ВВП в России в 1870-1913 годах был всего +1 | йтеров из-за рубежа. В Киргизии - 30,4% ВВП, в Таджикистане - 26,9% (почти все пере | Европейские регионы по ВВП в паритетных ценах на душу населения"
Северный,unknown,107,Северной (56); Северном (12); Северного (11); Северный (9); Северную (7),"л не засушливым, а влажным, что сделало Северную Африку крупнейшей житницей Римской импе | е понижение среднегодовой температуры в Северном полушарии за последние 2000 лет, привед | полуостров, Восточная Европа и в целом Северная Евразия на несколько веков оказались в"
Николай,unknown,107,Николая (60); Николай (27); Николаю (10); Николае (7); Николаем (3),"сшего света Петрограда. Но раз за разом Николай II и его окружение отвергали предложени | Два сына поэта Николая Гумилёва - Орест (слева) и Лев | Могила лидера советской Румынии Николае Чаушеску. В этот день, 25 декабря 1989"
Русь,unknown,97,Руси (68); Русь (27); Русью (2),В первые десятилетия после завоевания Руси Орда провела перепись местного населени | века монополию на сбор налогов со всей Руси отдали Москве. Московские князья оставл | это позволило им провести централизацию Руси. http://ttolk.ru/articles/rus_platila_v
Восточный,unknown,94,Восточной (67); Восточную (9); Восточная (5); Восточного (3); Восточном (3),"ты готовили демократический переворот в Восточной Германии. Результатом операции стала бы | ия, Германия, Скандинавский полуостров, Восточная Европа и в целом Северная Евразия на не | много расистской"" и управляться белыми, Восточная - под властью чёрных. Внутри них штаты"
Хх,unknown,92,ХХ (91); ХХI (1),"револьвер в Российской империи в начале ХХ века (кстати, продажа пистолетов была с | го слова зародилась во Франции в начале ХХ века. Уже в 1913 году был принят правит | истинной религиозности россиян в начале ХХ века. ""Протопресвитер военного духовенс"
Ес,unknown,92,ЕС (92),"ен, что возникнет Континентальный Союз: ЕС+Россия, который будет противостоять гло | страна будет двигаться в сторону НАТО и ЕС.  Есть, правда, одно ""но"". Даже два. Пе | еские отношения между основными членами ЕС.  2) Турция будет становиться всё важне"
Сергей,unknown,91,Сергея (57); Сергей (28); Сергее (2); Сергеем (2); Сергею (2),"Статьи Сергея Кургиняна иллюстрировали рептилоидами у | а - будущий всемирно известный режиссёр Сергей Эйзенштейн | рист, создатель финансовой пирамиды МММ Сергей Мавроди. Ещё недавно он был кумиром мил"
Советский Союз,person,91,Советского Союза (39); Советский Союз (22); Советском Союзе (15); Советскому Союзу (10); Советским Союзом (5),"волжский матрос, Андропов, встав у руля Советского Союза, прикидывал, что курс можно менять не б | ябрьской революции, последней в истории Советского Союза. 7 ноября 1990 года. Москва | ь бы только идеология. Этот план реформ Советского Союза испугал консерваторов и привёл к отстав"
Азия,unknown,89,Азии (75); Азию (6); Азия (6); Азией (2),се).  Американцы будут бить и в Средней Азии. Постепенно они отрывают Узбекистан от | ия загрязнения воздуха (в списке только Азия и африканская Нигерия; городов Первого | ное движение в пользу развития связей с Азией. Губернатор Москвы Растопчин начал выво
Москвы,title,88,Москвы (88),"чельников и Проханов, бродя по окраинам Москвы, тогда отыскали и главное место силы эт | е странными существами, приезжающими из Москвы.  В конце концов один из соседей по лес | городов-миллионников или мегаполисов – Москвы, Санкт-Петербурга. Им не больше 45 лет"
Москве,title,85,Москве (85),"лучив кладбище — Рогожско-Симоновское в Москве, — община создала свою организацию с ка | ьный дом.  Ради нас мама организовала в Москве первую английскую спецшколу в Сокольник | а"" (нелегального журнала, выходившего в Москве в 1959-1960 годах). Это моё глубокое уб"
Второй,unknown,85,Второй (40); Второго (23); Втором (12); Вторая (4); Вторую (2),"мэрий. Это был классический бунт стран Второго и Третьего мира – бунт периферии. http: | После начала Второй мировой осенью 1939 года Германия лишил | Журнал ""Эхо"" (1925 год). Из репортажа о Втором женском исправдоме в Москве (он распола"
Трамп,unknown,84,Трампа (50); Трамп (24); Трампу (4); Трампе (3); Трампом (3),"а активистка организовала митинг против Трампа. Другая потребовала отменить запрет на | в том числе, смогли притащить к власти Трампа) | чаще всего общались по телефону Путин и Трамп за последние полтора года"
Союз,unknown,84,Союза (34); Союз (21); Союзе (16); Союзу (10); Союзом (2),"и уверен, что возникнет Континентальный Союз: ЕС+Россия, который будет противостоять | волюции, последней в истории Советского Союза. 7 ноября 1990 года. Москва | идеология. Этот план реформ Советского Союза испугал консерваторов и привёл к отстав"
Кгб,unknown,83,КГБ (83),"работа там была частью секретного плана КГБ под названием «Луч», согласно которому | вропольчанина на пост зам. председателя КГБ(!) В Политбюро все в шоке, Андропову от | в шоке, Андропову отказывают. Но глава КГБ не унимается. В 1972 году 41-летнего Го"
Новый,unknown,82,Новой (13); Нового (12); Новый (10); Новая (9); Новые (8),"Строящийся проспект Калинина (ныне Новый Арбат), 1965 год | Началась последняя неделя перед Новым годом. Для меня с детства признаками Но | ым годом. Для меня с детства признаками Нового года была куча конфет, мандаринки и ёлк"
Ленин,unknown,82,Ленина (32); Ленин (23); Ленину (18); Ленине (6); Лениным (3),"ленческой) митрополит Евдоким на смерть Ленина, 23 января 1924 года:  ""Да живет же неп | тие в Москве. В Мавзолее он разглядел в Ленине аристократа, Сталина он посчитал настоя | нание Максима Горького о любимой музыке Ленина:  ""Как-то вечером, в Москве, на квартир"
Донбасс,unknown,82,Донбасса (27); Донбассе (27); Донбасс (25); Донбассу (2); Донбассом (1),"от России. Проблемные регионы - Крым и Донбасс, и их утрата даже в чём-то желательна, | Когда Донбасс ещё не был в ""Русском Мiре"" | адъютант. В бежевой ""Волге"" — шахтёр из Донбасса, Знатный забойщик высокого класса. В се"
Восток,unknown,80,Востоке (31); Восток (21); Востока (21); Востоком (4); Востоку (3),"последним его пристанищем стал Дальний Восток. В 1922 году в Польше он написал книгу | чума, начавшаяся в 530-540-х на Ближнем Востоке и пришедшая в Италию, Иллирию, Галлию и | я, Индии, в будущем, возможно, Среднего Востока."
Италия,country,79,Италии (65); Италия (10); Италию (4),"з наиболее древних сведений о климате в Италии относятся к II–I векам до н.э., когда э | В 1923 году в Италии выпустили ""продолжение"" про Пиноккио | а. В России будет климат как в нынешней Италии. В Россию, Скандинавию и Канаду пересел"
Советский,unknown,78,Советского (28); Советской (13); Советском (13); Советский (10); Советскому (9),"щь Америки поставками оружия и припасов Советскому союзу с прекращением гонений на Церковь | ябрьской революции, последней в истории Советского Союза. 7 ноября 1990 года. Москва | ь бы только идеология. Этот план реформ Советского Союза испугал консерваторов и привёл к"
Xix,unknown,77,XIX (77),"льство русским владельцам Аляски начала XIX века. Карго-треуголка из шкур, аналог с | Как в середине XIX века в России и Москве разрушали архите | одготовки книги расскажет Данилкину: ""В XIX веке у России было две беды – дураки и"
Сми,unknown,75,СМИ (75),"стей, большинство из которых игнорирует СМИ. | е к абортам и гомофобия. 6 Контроль над СМИ. 7.Маниакальное увлечение национальной | бщественным контролем (от профсоюзов до СМИ). И все колонисты обязаны работать. htt"
Польша,country,75,Польша (31); Польши (30); Польшу (14),". В качестве приза СССР забирал бы себе Польшу, которую Тухачевский ненавидел, и В.Пру | руссия в следствие долгого подданства у Польши: совершенное истощение и поглупение нар | кий детский лагерь, окрестности Львова, Польша, 1933 год"
Владимир,unknown,74,Владимира (32); Владимир (30); Владимиру (7); Владимире (4); Владимиром (1),"верокорейский фильм о визите президента Владимира Путина в КНДР в 2000 году. Очень всё оп | Город Владимир. На 98-летие Василия Шульгина 14 января | ом фрески времен Ярослава, сына святого Владимира, чтобы заменить их росписью, соответств"
Иран,unknown,73,Иран (27); Ирана (25); Иране (10); Ираном (6); Ирану (5),"такое, а в данный момент про волнения в Иране с эпизодическими экскурсами в историю с | ая фигура, и всем в Сирии распоряжается Иран, а Иран - непримиримый  враг. Возможно, | а, и всем в Сирии распоряжается Иран, а Иран - непримиримый  враг. Возможно, Россия"
Африка,unknown,69,Африки (30); Африке (22); Африку (9); Африка (8),"шливым, а влажным, что сделало Северную Африку крупнейшей житницей Римской империи — т | талась одна. Франция это вообще сборная Африки в европейской форме. Англичане движутся | арплат по российским регионам и странам Африки. Москвичи живут лучше всех - в среднем,"
Кпрф,unknown,68,КПРФ (68),"елали наказы кандидату в мэры Москвы от КПРФ Вадиму Кумину. Было много отличных выст | в первую очередь, парламентские - ЛДПР, КПРФ, СР. Они теперь используют ситуацию по | ова главной протестной силой становится КПРФ. Навальный сдулся почти окончательно. Я"
Белоруссия,unknown,68,Белоруссии (49); Белоруссию (13); Белоруссией (6),"ских националистов, изображающая раздел Белоруссии между Россией и Польшей: ""Долой позорны | , Украины, Литвы и – в скором будущем – Белоруссии, Молдавии и Румынии. Возможно, к ним пр | На Украине - ""Тени забытых предков"", в Белоруссии - ""Иди и смотри"""
Сталин,person,68,Сталин (62); Александреттского (1); Надежды (1); Перестройки (1); Россия (1),"ов в России - уже 112 лет. В частности, Сталин тогда выразил мнение по этому поводу: | бщего победоносного выступления. (Иосиф Сталин (Коба), ""Государственная Дума и тактика | Известно, что Сталин не доверял Черчиллю, подвергая сомнению"
Средний,unknown,68,Средней (45); Средний (7); Средняя (4); Среднем (3); Средние (3),в Донбассе).  Американцы будут бить и в Средней Азии. Постепенно они отрывают Узбекиста | мериканцы насильственно переселяются на Средний Запад (что-то типа резерваций).  Ещё од | . в целом прирост мигрантов в Россию из Средней Азии можно оценить в 450-500 тыс. челов
Китай,unknown,67,Китаем (42); Китаю (25),"онцов, это две великие белые нации. А с Китаем, как верили андроповцы, никогда и ни в | ражался мир, поделённый между Россией и Китаем. О Западе современникам этого мира буду | ейчас более всего подходит современному Китаю. В нынешней китайской вариации подобная"
Кремль,unknown,67,Кремля (25); Кремле (22); Кремль (14); Кремлю (3); Кремлём (3),"Палаточный лагерь народных просителей у Кремля, 1990 год | вого правительства. И в Белом доме, и в Кремле он зондировал на этот счет почву. В Мос | Таким образом, Шавкат Мирзиёев направил Кремлю четкий сигнал: Ташкент отныне будет про"
Израиль,unknown,66,Израиль (25); Израиля (22); Израиле (8); Израилем (6); Израилю (5),"ю, и основать в Палестине прогерманский Израиль. У Германии была и вторая причина для с | тывал Баллод, в созданном прогерманском Израиле должны были проживать около 1 млн. евре | а индийский рынок, в частности, выходит Израиль. В 2017 году правительство Индии подпис"
Иван,unknown,65,Ивана (35); Иван (13); Иваном (8); Иване (5); Ивану (3),"е, относившаяся ко времени царствования Ивана Васильевича Грозного и построенная так | ментов такой ""перестройки"" был проведён Иваном Худенко в казахском совхозе. Два года р | егендарная программа Алексея Гиганова и Ивана Кононова. Человек заходил в передвижную"
Средний Азия,person,63,Средней Азии (56); Средняя Азия (4); Среднюю Азию (3),в Донбассе).  Американцы будут бить и в Средней Азии. Постепенно они отрывают Узбекистан от | . в целом прирост мигрантов в Россию из Средней Азии можно оценить в 450-500 тыс. человек еж | ркского – на Кавказе и в Поволжье – и в Средней Азии. По сути мы увидим возрождение Османско
Лондон,unknown,62,Лондоне (25); Лондон (23); Лондона (13); Лондону (1),"з-за границы доносы, что существующие в Лондоне демократические комитеты успели найти в | е и быстро распространяют свои ветви. В Лондоне развился даже особый род промышленности | дить, будто с такой комплекцией сидит в Лондоне только на сэндвичах!"" Молотов заметил,"
Япония,country,61,Японии (37); Япония (17); Японию (7),"ми и бутылками виски. После капитуляции Японии серия про Момотаро была запрещена. По с | ем за год - ниже, чем в США, Германии и Японии | ат, НКВДшник Герман Люшков, сбежавший в Японию"
КГБ,title,61,КГБ (61),"жду 1954 и 1963 годом 46 тысяч офицеров КГБ были отправлены в отставку, хотя не все | МГБ"".  Были свои цифры и у председателя КГБ Ивана Серова. Он докладывал по этому по | июне 1957 года: ""С момента образования КГБ при СМ СССР (то есть с марта 1954 года)"
Рпц,unknown,60,РПЦ (60),"ША не будет, пока в СССР не восстановят РПЦ. Сталин сдался Рузвельту за два месяца | я верным вопросом:  У Священного Синода РПЦ было соломоново решение разбить жизненн | ие, помещиков и фабрикантов, окормление РПЦ, сырьевой экспорт. При этом - относител"
Михаил,unknown,59,Михаила (30); Михаил (21); Михаиле (3); Михаилом (3); Михаилу (2),"Заслуженный артист РСФСР Михаил Румянцев (клоун Карандаш) в политпролог | иков вредных и опасных идей.  Литератор Михаил Лонгинов описывал это мрачное 7-летие з | ровня жизни и показное потребление.  От Михаила Абрамовича Морозова, одного из владельц"
Гитлер,unknown,58,Гитлера (31); Гитлер (11); Гитлеру (10); Гитлером (5); Гитлере (1),"тоевского. Просто два факта. В кабинете Гитлера висел портрет Достоевского. А на оккупи | был участником заговора и покушения на Гитлера 20 июля 1944 года, и погиб в Гестапо. В | ковь. На следующий день после вторжения Гитлера в СССР в июне 1941 года он уведомил Ста"
Be,unknown,58,BE (54); BE- (4),olk.ru/2015/12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1 | 12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81%D0%B2%D0 | D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B6%D0%
Восточный Европа,person,58,Восточной Европы (33); Восточной Европе (13); Восточную Европу (5); Восточная Европа (4); Восточной Европой (3),"ия, Германия, Скандинавский полуостров, Восточная Европа и в целом Северная Евразия на несколько | оже искали выход: их напугали события в Восточной Европе и то, как их коллеги из ГДР, Чехии и т. | итологи-ястребы часто были выходцами из Восточной Европы. Из Польши - Бжезинский и Пайпс, из Рум"
Вшэ,unknown,57,ВШЭ (57),"Историк, профессор ВШЭ Григорий Львович Тульчинский на одной и | ениях (данные социолога Вадима Радаева, ВШЭ). Страна при них будет другой | Интересное исследование профессора НИУ ВШЭ Вадима Радаева о российских миллениалах"
Петербург,unknown,57,Петербурге (24); Петербург (17); Петербурга (13); Петербургом (2); Петербургу (1),"лько что Троцкий и товарищи прислали из Петербурга радио, что они готовы подписать мир. 20 | дков. В тот же день рабочие отправили в Петербург депутатов, которые возложили серебряный | Патриоты на Дворцовой площади в Петербурге, август 1914 года, многие на коленях в"
Российский,unknown,55,Российской (37); Российская (11); Российского (3); Российский (2); Российское (1),"Сколько стоил револьвер в Российской империи в начале ХХ века (кстати, прода | своей стратификации похоже на общество Российской империи в 1905 году | вника Мориса Палеолога, посла Франции в Российской империи в 1914-1917 - как Николай II и"
Мгд,unknown,55,МГД (53); МГД2019 (2),"На предстоящих выборах в МГД мэрия активно работает с кандидатами вс | ивали, что прежняя команда по выборам в МГД хотела дать либералам 2-3 места в МГД ( | в МГД хотела дать либералам 2-3 места в МГД (один из потенциальных депутатов - даже"
Россию,title,54,Россию (54),"ализируют оппонентов власти и изолируют Россию от Запада.  В 2040 году Китай будет упр | беральными течениями, грозившими увлечь Россию. Дух ответил: ""Ты должен во что бы то н | нять императора"".  В январе 1917 года в Россию прибывает большая делегация союзников п"
Петр,unknown,53,Петра (20); Пётр (16); Петре (8); Петром (7); Петр (1),"лохин лично расстрелял 20 тыс. человек, Пётр Магго - 10 тыс. Большинство из палачей | В России детей-уродов до Петра I можно было безнаказанно убивать (!), | ""Уличный фотограф"", Пётр Бучкин, 1921 год"
Сибирь,unknown,53,Сибири (31); Сибирь (21); Сибирью (1),"ода в тепло. Тюрки и венгры приходят из Сибири в Европу, скандинавы и германцы с север | ловине ХХ века похож на нынешний на юге Сибири. И понимаешь, насколько полезно для нас | чфорд в конце 1918 года был направлен в Сибирь для несения службы в Британской военной"
Казахстан,country,53,Казахстане (25); Казахстан (14); Казахстана (14),"ают постепенный отход от России. И если Казахстан ещё стремится сохранить ""многовекторную | ии приходится 105.193 человека, на долю Казахстана - свыше 2,5 тысячи. Есть информация и о | ami-premii-szhk-2018-g  Потихоньку даже Казахстан начинает опережать Россию в гуманизации"
Совет,unknown,53,Совета (15); Совет (13); Советов (11); Совете (5); Советы (3),"плакат, посвященный выборам в Верховный Совет СССР 1984 года. Плакат выпущен в 1983 г | на архиепископа Мануила уполномоченного Совета по делам Русской православной церкви по | чении с 1945-го по 1956 год, благодарил Советы за отличную тюремную жизнь, которой он"
Красный,unknown,51,Красной (25); Красного (8); Красный (8); Красную (5); Красная (3),"номенальные. В 17 лет - орден Трудового Красного знамени. В 19 лет - кандидат в члены КП | ния Наркомата тяжелой промышленности на Красной площади.  Авторы - И.Фомин, П.Абросимов | нчиком Рейгана во время его прогулки по Красной площади, Москва, 1988 год"
