normalized_token,classification,detection_method,count,variant_examples,sample_contexts
Крым,unknown,unknown,114,Крыма (43); Крым (36); Крыму (27); Крымом (7); Крыме (1),"Пить баварское в Крыму | Подводный дом ""Ихтиандр-67"" в Крыму. Сделан донецкими энтузаистами НТР в 19 | зависит от России. Проблемные регионы - Крым и Донбасс, и их утрата даже в чём-то же"
Ран,unknown,unknown,113,РАН (113),"у Юрия Бокарева из Института экономики РАН.  В так называемом ""рабовладельческом о | ва: справедливость и ""Где деньги!?"" (ИС РАН) | енсионеров даже уменьшилось (данные: ИС РАН)"
Сирия,unknown,unknown,109,Сирии (79); Сирию (14); Сирия (13); Сирией (3),"лка французского Иностранного легиона в Сирии, 1924 год | л, что если и вправду прибыли С-300 для Сирии, то он рано или поздно уничтожит их. По | на: Асад - номинальная фигура, и всем в Сирии распоряжается Иран, а Иран - непримирим"
Александр,unknown,unknown,109,Александра (65); Александр (39); Александру (4); Александром (1),"казывал прокремлёвский политолог, немец Александр Рар в книге «Владимир Путин. Немец в Кр | к тому, что отстаивать Москву помогали Александр Невский, Дмитрий Донской, Минин и Пожар | Письмо Алексея Константиновича Толстого Александру II, 1860 год:  Ваше величество, професс"
Ввп,unknown,unknown,108,ВВП (108),"та в царской России. Но рост подушевого ВВП в России в 1870-1913 годах был всего +1 | йтеров из-за рубежа. В Киргизии - 30,4% ВВП, в Таджикистане - 26,9% (почти все пере | Европейские регионы по ВВП в паритетных ценах на душу населения"
Восток,person,pattern_surname,108,Востоке (40); Востока (34); Восток (25); Востоком (6); Востоку (3),"а Сталина на приветствия"". Газета ""Заря Востока"", Тифлис, 10 июня 1926 года, №1197.) | итай будет управлять российским Дальним Востоком. Чтобы компенсировать потери в Азии, Ро | последним его пристанищем стал Дальний Восток. В 1922 году в Польше он написал книгу"
Институт,unknown,unknown,108,Института (82); Институт (17); Институте (7); Институтом (2),"советник главы КГБ Андропова и директор Института Америки Георгий Арбатов в автобиографии | кий Союз и до весны 1937 года работал в Институте генетики АН СССР, где заведовал отделом | т, собранный в 1978 году силами рабочих Института сверхтвердых материалов имени В.М.Бакул"
Северный,unknown,unknown,107,Северной (56); Северном (12); Северного (11); Северный (9); Северную (7),"л не засушливым, а влажным, что сделало Северную Африку крупнейшей житницей Римской импе | е понижение среднегодовой температуры в Северном полушарии за последние 2000 лет, привед | полуостров, Восточная Европа и в целом Северная Евразия на несколько веков оказались в"
Николай,unknown,unknown,107,Николая (60); Николай (27); Николаю (10); Николае (7); Николаем (3),"сшего света Петрограда. Но раз за разом Николай II и его окружение отвергали предложени | Два сына поэта Николая Гумилёва - Орест (слева) и Лев | Могила лидера советской Румынии Николае Чаушеску. В этот день, 25 декабря 1989"
Российский,person,pattern_surname,97,Российской (56); Российская (22); Российского (6); Российский (5); Российскую (5),"Сколько стоил револьвер в Российской империи в начале ХХ века (кстати, прода | своей стратификации похоже на общество Российской империи в 1905 году | вника Мориса Палеолога, посла Франции в Российской империи в 1914-1917 - как Николай II и"
Русь,unknown,unknown,97,Руси (68); Русь (27); Русью (2),В первые десятилетия после завоевания Руси Орда провела перепись местного населени | века монополию на сбор налогов со всей Руси отдали Москве. Московские князья оставл | это позволило им провести централизацию Руси. http://ttolk.ru/articles/rus_platila_v
Восточный,unknown,unknown,94,Восточной (67); Восточную (9); Восточная (5); Восточного (3); Восточном (3),"ты готовили демократический переворот в Восточной Германии. Результатом операции стала бы | ия, Германия, Скандинавский полуостров, Восточная Европа и в целом Северная Евразия на не | много расистской"" и управляться белыми, Восточная - под властью чёрных. Внутри них штаты"
Ес,unknown,unknown,92,ЕС (92),"ен, что возникнет Континентальный Союз: ЕС+Россия, который будет противостоять гло | страна будет двигаться в сторону НАТО и ЕС.  Есть, правда, одно ""но"". Даже два. Пе | еские отношения между основными членами ЕС.  2) Турция будет становиться всё важне"
Хх,unknown,unknown,92,ХХ (91); ХХI (1),"револьвер в Российской империи в начале ХХ века (кстати, продажа пистолетов была с | го слова зародилась во Франции в начале ХХ века. Уже в 1913 году был принят правит | истинной религиозности россиян в начале ХХ века. ""Протопресвитер военного духовенс"
Сергей,unknown,unknown,91,Сергея (57); Сергей (28); Сергее (2); Сергеем (2); Сергею (2),"Статьи Сергея Кургиняна иллюстрировали рептилоидами у | а - будущий всемирно известный режиссёр Сергей Эйзенштейн | рист, создатель финансовой пирамиды МММ Сергей Мавроди. Ещё недавно он был кумиром мил"
Советский Союз,person,adjacent_pair,89,Советского Союза (39); Советский Союз (20); Советском Союзе (15); Советскому Союзу (10); Советским Союзом (5),"волжский матрос, Андропов, встав у руля Советского Союза, прикидывал, что курс можно менять не б | ябрьской революции, последней в истории Советского Союза. 7 ноября 1990 года. Москва | ь бы только идеология. Этот план реформ Советского Союза испугал консерваторов и привёл к отстав"
Азия,unknown,unknown,89,Азии (75); Азию (6); Азия (6); Азией (2),се).  Американцы будут бить и в Средней Азии. Постепенно они отрывают Узбекистан от | ия загрязнения воздуха (в списке только Азия и африканская Нигерия; городов Первого | ное движение в пользу развития связей с Азией. Губернатор Москвы Растопчин начал выво
Москвы,title,quoted_title,88,Москвы (88),"чельников и Проханов, бродя по окраинам Москвы, тогда отыскали и главное место силы эт | е странными существами, приезжающими из Москвы.  В конце концов один из соседей по лес | городов-миллионников или мегаполисов – Москвы, Санкт-Петербурга. Им не больше 45 лет"
Москве,title,quoted_title,85,Москве (85),"лучив кладбище — Рогожско-Симоновское в Москве, — община создала свою организацию с ка | ьный дом.  Ради нас мама организовала в Москве первую английскую спецшколу в Сокольник | а"" (нелегального журнала, выходившего в Москве в 1959-1960 годах). Это моё глубокое уб"
Второй,unknown,unknown,85,Второй (40); Второго (23); Втором (12); Вторая (4); Вторую (2),"мэрий. Это был классический бунт стран Второго и Третьего мира – бунт периферии. http: | После начала Второй мировой осенью 1939 года Германия лишил | Журнал ""Эхо"" (1925 год). Из репортажа о Втором женском исправдоме в Москве (он распола"
Союз,unknown,unknown,84,Союза (34); Союз (21); Союзе (16); Союзу (10); Союзом (2),"и уверен, что возникнет Континентальный Союз: ЕС+Россия, который будет противостоять | волюции, последней в истории Советского Союза. 7 ноября 1990 года. Москва | идеология. Этот план реформ Советского Союза испугал консерваторов и привёл к отстав"
Трамп,unknown,unknown,84,Трампа (50); Трамп (24); Трампу (4); Трампе (3); Трампом (3),"а активистка организовала митинг против Трампа. Другая потребовала отменить запрет на | в том числе, смогли притащить к власти Трампа) | чаще всего общались по телефону Путин и Трамп за последние полтора года"
Кгб,unknown,unknown,83,КГБ (83),"работа там была частью секретного плана КГБ под названием «Луч», согласно которому | вропольчанина на пост зам. председателя КГБ(!) В Политбюро все в шоке, Андропову от | в шоке, Андропову отказывают. Но глава КГБ не унимается. В 1972 году 41-летнего Го"
Новый,unknown,unknown,82,Новой (13); Нового (12); Новый (10); Новая (9); Новые (8),"Строящийся проспект Калинина (ныне Новый Арбат), 1965 год | Началась последняя неделя перед Новым годом. Для меня с детства признаками Но | ым годом. Для меня с детства признаками Нового года была куча конфет, мандаринки и ёлк"
Донбасс,unknown,unknown,82,Донбасса (27); Донбассе (27); Донбасс (25); Донбассу (2); Донбассом (1),"от России. Проблемные регионы - Крым и Донбасс, и их утрата даже в чём-то желательна, | Когда Донбасс ещё не был в ""Русском Мiре"" | адъютант. В бежевой ""Волге"" — шахтёр из Донбасса, Знатный забойщик высокого класса. В се"
Италия,country,country_match,79,Италии (65); Италия (10); Италию (4),"з наиболее древних сведений о климате в Италии относятся к II–I векам до н.э., когда э | В 1923 году в Италии выпустили ""продолжение"" про Пиноккио | а. В России будет климат как в нынешней Италии. В Россию, Скандинавию и Канаду пересел"
Xix,unknown,unknown,77,XIX (77),"льство русским владельцам Аляски начала XIX века. Карго-треуголка из шкур, аналог с | Как в середине XIX века в России и Москве разрушали архите | одготовки книги расскажет Данилкину: ""В XIX веке у России было две беды – дураки и"
Сми,unknown,unknown,75,СМИ (75),"стей, большинство из которых игнорирует СМИ. | е к абортам и гомофобия. 6 Контроль над СМИ. 7.Маниакальное увлечение национальной | бщественным контролем (от профсоюзов до СМИ). И все колонисты обязаны работать. htt"
Польша,country,country_match,75,Польша (31); Польши (30); Польшу (14),". В качестве приза СССР забирал бы себе Польшу, которую Тухачевский ненавидел, и В.Пру | руссия в следствие долгого подданства у Польши: совершенное истощение и поглупение нар | кий детский лагерь, окрестности Львова, Польша, 1933 год"
Владимир,unknown,unknown,74,Владимира (32); Владимир (30); Владимиру (7); Владимире (4); Владимиром (1),"верокорейский фильм о визите президента Владимира Путина в КНДР в 2000 году. Очень всё оп | Город Владимир. На 98-летие Василия Шульгина 14 января | ом фрески времен Ярослава, сына святого Владимира, чтобы заменить их росписью, соответств"
Африка,person,pattern_surname,73,Африки (31); Африке (23); Африка (10); Африку (9),"шливым, а влажным, что сделало Северную Африку крупнейшей житницей Римской империи — т | заводе не нашлось места - это условная Африка. Им выдают пособия по безработице через | талась одна. Франция это вообще сборная Африки в европейской форме. Англичане движутся"
Иран,unknown,unknown,73,Иран (27); Ирана (25); Иране (10); Ираном (6); Ирану (5),"такое, а в данный момент про волнения в Иране с эпизодическими экскурсами в историю с | ая фигура, и всем в Сирии распоряжается Иран, а Иран - непримиримый  враг. Возможно, | а, и всем в Сирии распоряжается Иран, а Иран - непримиримый  враг. Возможно, Россия"
Ельцин,person,pattern_surname,71,Ельцина (30); Ельцин (19); Ельцину (9); Ельциным (9); Ельцине (4),"В сентябре 1989 года Борис Ельцин побывал в США. Увиденное так поразило е | а в мире всё изобретено», - сокрушался Ельцин. http://ttolk.ru/articles/kak_amerikans | 98, 20 лет назад: - Говорят вы преемник Ельцина? Будете ли вы кандидатом? - Нет. У нас"
Кпрф,unknown,unknown,68,КПРФ (68),"елали наказы кандидату в мэры Москвы от КПРФ Вадиму Кумину. Было много отличных выст | в первую очередь, парламентские - ЛДПР, КПРФ, СР. Они теперь используют ситуацию по | ова главной протестной силой становится КПРФ. Навальный сдулся почти окончательно. Я"
Белоруссия,unknown,unknown,68,Белоруссии (49); Белоруссию (13); Белоруссией (6),"ских националистов, изображающая раздел Белоруссии между Россией и Польшей: ""Долой позорны | , Украины, Литвы и – в скором будущем – Белоруссии, Молдавии и Румынии. Возможно, к ним пр | На Украине - ""Тени забытых предков"", в Белоруссии - ""Иди и смотри"""
Средний,unknown,unknown,68,Средней (45); Средний (7); Средняя (4); Среднем (3); Средние (3),в Донбассе).  Американцы будут бить и в Средней Азии. Постепенно они отрывают Узбекиста | мериканцы насильственно переселяются на Средний Запад (что-то типа резерваций).  Ещё од | . в целом прирост мигрантов в Россию из Средней Азии можно оценить в 450-500 тыс. челов
Собянин,person,pattern_surname,67,Собянина (29); Собянин (26); Собянину (6); Собянине (3); Собяниным (3),"показала сегодняшняя публичная поездка Собянина и Воробьёва ""на дачу"". Оба они чуть ли | ьно в посте вообще не было ни слова про Собянина, но он зачем-то стал упоминать про то, | либеральной тусовочки, что кормились от Собянина: например, по программе Александрины Ма"
Кремль,unknown,unknown,67,Кремля (25); Кремле (22); Кремль (14); Кремлю (3); Кремлём (3),"Палаточный лагерь народных просителей у Кремля, 1990 год | вого правительства. И в Белом доме, и в Кремле он зондировал на этот счет почву. В Мос | Таким образом, Шавкат Мирзиёев направил Кремлю четкий сигнал: Ташкент отныне будет про"
Китай,unknown,unknown,67,Китаем (42); Китаю (25),"онцов, это две великие белые нации. А с Китаем, как верили андроповцы, никогда и ни в | ражался мир, поделённый между Россией и Китаем. О Западе современникам этого мира буду | ейчас более всего подходит современному Китаю. В нынешней китайской вариации подобная"
Израиль,unknown,unknown,66,Израиль (25); Израиля (22); Израиле (8); Израилем (6); Израилю (5),"ю, и основать в Палестине прогерманский Израиль. У Германии была и вторая причина для с | тывал Баллод, в созданном прогерманском Израиле должны были проживать около 1 млн. евре | а индийский рынок, в частности, выходит Израиль. В 2017 году правительство Индии подпис"
Родина,person,pattern_surname,66,Родина (21); Родине (18); Родины (15); Родину (11); Родиной (1),"ом месте среди всех категорий россиян - Родина (71-89%). http://ttolk.ru/articles/ross | о не меняется - всё те же в камерах)) (""Родина"", №18, 1909 год) | жизни и склоняет отдельных лиц к измене Родине. Только за 6 месяцев 1964 года Ленингра"
Иван,unknown,unknown,65,Ивана (35); Иван (13); Иваном (8); Иване (5); Ивану (3),"е, относившаяся ко времени царствования Ивана Васильевича Грозного и построенная так | ментов такой ""перестройки"" был проведён Иваном Худенко в казахском совхозе. Два года р | егендарная программа Алексея Гиганова и Ивана Кононова. Человек заходил в передвижную"
Перестройка,person,pattern_surname,64,Перестройки (28); Перестройку (20); Перестройка (9); Перестройкой (4); Перестройке (3),"Кумиры Перестройки. Из журнала ""Новый Собеседник"". 1990 го | то, по словам Арбатова, потом помогло в Перестройку и в 1990-е, когда армия молча смотрела | ортивным обществом ""Динамо"". Если бы не Перестройка, то внутри Пятого отдела наверняка бы п"
Лондон,unknown,unknown,62,Лондоне (25); Лондон (23); Лондона (13); Лондону (1),"з-за границы доносы, что существующие в Лондоне демократические комитеты успели найти в | е и быстро распространяют свои ветви. В Лондоне развился даже особый род промышленности | дить, будто с такой комплекцией сидит в Лондоне только на сэндвичах!"" Молотов заметил,"
Япония,country,country_match,61,Японии (37); Япония (17); Японию (7),"ми и бутылками виски. После капитуляции Японии серия про Момотаро была запрещена. По с | ем за год - ниже, чем в США, Германии и Японии | ат, НКВДшник Герман Люшков, сбежавший в Японию"
КГБ,title,quoted_title,61,КГБ (61),"жду 1954 и 1963 годом 46 тысяч офицеров КГБ были отправлены в отставку, хотя не все | МГБ"".  Были свои цифры и у председателя КГБ Ивана Серова. Он докладывал по этому по | июне 1957 года: ""С момента образования КГБ при СМ СССР (то есть с марта 1954 года)"
Андропов,person,pattern_surname,61,Андропова (29); Андропов (27); Андроповым (3); Андропову (2),"-то в середине 1960-х его замечает Юрий Андропов. В 1969 году он предлагает 38-летнего с | седателя КГБ(!) В Политбюро все в шоке, Андропову отказывают. Но глава КГБ не унимается. | все в шоке, не прокатывает. В 1976 году Андропов предлагает его в министры сельского хоз"
Рпц,unknown,unknown,60,РПЦ (60),"ША не будет, пока в СССР не восстановят РПЦ. Сталин сдался Рузвельту за два месяца | я верным вопросом:  У Священного Синода РПЦ было соломоново решение разбить жизненн | ие, помещиков и фабрикантов, окормление РПЦ, сырьевой экспорт. При этом - относител"
Михаил,unknown,unknown,59,Михаила (30); Михаил (21); Михаиле (3); Михаилом (3); Михаилу (2),"Заслуженный артист РСФСР Михаил Румянцев (клоун Карандаш) в политпролог | иков вредных и опасных идей.  Литератор Михаил Лонгинов описывал это мрачное 7-летие з | ровня жизни и показное потребление.  От Михаила Абрамовича Морозова, одного из владельц"
Be,unknown,unknown,58,BE (54); BE- (4),olk.ru/2015/12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1 | 12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81%D0%B2%D0 | D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B6%D0%
Гитлер,unknown,unknown,58,Гитлера (31); Гитлер (11); Гитлеру (10); Гитлером (5); Гитлере (1),"тоевского. Просто два факта. В кабинете Гитлера висел портрет Достоевского. А на оккупи | был участником заговора и покушения на Гитлера 20 июля 1944 года, и погиб в Гестапо. В | ковь. На следующий день после вторжения Гитлера в СССР в июне 1941 года он уведомил Ста"
Петербург,unknown,unknown,57,Петербурге (24); Петербург (17); Петербурга (13); Петербургом (2); Петербургу (1),"лько что Троцкий и товарищи прислали из Петербурга радио, что они готовы подписать мир. 20 | дков. В тот же день рабочие отправили в Петербург депутатов, которые возложили серебряный | Патриоты на Дворцовой площади в Петербурге, август 1914 года, многие на коленях в"
Вшэ,unknown,unknown,57,ВШЭ (57),"Историк, профессор ВШЭ Григорий Львович Тульчинский на одной и | ениях (данные социолога Вадима Радаева, ВШЭ). Страна при них будет другой | Интересное исследование профессора НИУ ВШЭ Вадима Радаева о российских миллениалах"
Медведев,person,pattern_surname,55,Медведев (29); Медведева (19); Медведевым (5); Медведеву (2),"и Наталья Тимакова, которая отвечает у Медведева за культуру в аппарате Белого дома, а т | Финансовый омбудсмен Павел Медведев: ""В 1972 году я был в группе экономисто | ся преемник. Тот, кого он выберет, типа Медведева. Человек, которому он доверяет, который"
Гражданский,person,pattern_surname,55,Гражданской (29); Гражданскую (9); Гражданская (7); Гражданский (4); Гражданское (3),"семьи хорошо видна трагедия Революции и Гражданской войны. Если совсем кратко: - Брат Полик | подмастерьем, рабочим на заводе. Потом Гражданская, партийная работа. С 1930 года отец раб | В исследовании ""Гражданское общество и гражданское сознание (ценнос"
